[28/Jul/2026 16:59:11] "HEAD / HTTP/1.1" 302 0
[28/Jul/2026 17:00:04] "GET / HTTP/1.1" 200 20930
[28/Jul/2026 17:00:04] "GET /static/catalog/css/home.css HTTP/1.1" 304 0
[28/Jul/2026 17:00:04] "GET /media/book_covers/images_Ov4eKOi.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:00:04] "GET /static/css/base.css HTTP/1.1" 304 0
[28/Jul/2026 17:00:05] "GET /media/book_covers/images_2.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:00:05] "GET /media/book_covers/images_4.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:00:05] "GET /media/book_covers/images_1.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:00:05] "GET /media/book_covers/images_3.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:00:05] "GET /media/book_covers/images_5.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:00:44] "GET / HTTP/1.1" 200 20930
[28/Jul/2026 17:21:50] "GET / HTTP/1.1" 200 20930
[28/Jul/2026 17:21:50] "GET /static/css/base.css HTTP/1.1" 304 0
[28/Jul/2026 17:21:50] "GET /static/catalog/css/home.css HTTP/1.1" 304 0
[28/Jul/2026 17:21:50] "GET /media/book_covers/images_1.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:21:50] "GET /media/book_covers/images_Ov4eKOi.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:21:50] "GET /media/book_covers/images_2.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:21:51] "GET /media/book_covers/images_3.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:21:51] "GET /media/book_covers/images_4.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:21:51] "GET /media/book_covers/images_5.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:21:57] "GET / HTTP/1.1" 302 0
[28/Jul/2026 17:21:57] "GET /login/?next=/ HTTP/1.1" 200 3556
[28/Jul/2026 17:21:57] "GET /static/css/base.css HTTP/1.1" 200 4742
[28/Jul/2026 17:21:57] "GET /static/accounts/css/login.css HTTP/1.1" 200 1957
Not Found: /favicon.ico
[28/Jul/2026 17:21:58] "GET /favicon.ico HTTP/1.1" 404 4492
[28/Jul/2026 17:22:32] "POST /signup/ HTTP/1.1" 200 3845
[28/Jul/2026 17:23:10] "POST /signup/ HTTP/1.1" 302 0
[28/Jul/2026 17:23:13] "GET / HTTP/1.1" 200 20997
[28/Jul/2026 17:23:13] "GET /media/book_covers/images_1.jpg HTTP/1.1" 200 19398
[28/Jul/2026 17:23:13] "GET /media/book_covers/images_Ov4eKOi.jpg HTTP/1.1" 200 32291
[28/Jul/2026 17:23:13] "GET /static/catalog/css/home.css HTTP/1.1" 200 5343
[28/Jul/2026 17:23:13] "GET /media/book_covers/images_2.jpg HTTP/1.1" 200 10708
[28/Jul/2026 17:23:13] "GET /media/book_covers/images_4.jpg HTTP/1.1" 200 22742
[28/Jul/2026 17:23:13] "GET /media/book_covers/images_3.jpg HTTP/1.1" 200 37733
[28/Jul/2026 17:23:13] "GET /media/book_covers/images_5.jpg HTTP/1.1" 200 24845
[28/Jul/2026 17:23:37] "GET /book/23/ HTTP/1.1" 200 5185
[28/Jul/2026 17:23:42] "GET /book/23/ HTTP/1.1" 200 5185
[28/Jul/2026 17:23:49] "GET / HTTP/1.1" 200 20930
[28/Jul/2026 17:56:18] "GET / HTTP/1.1" 200 28570
[28/Jul/2026 17:56:18] "GET /static/css/base.css HTTP/1.1" 304 0
[28/Jul/2026 17:56:18] "GET /static/catalog/css/home.css HTTP/1.1" 304 0
[28/Jul/2026 17:56:18] "GET /media/book_covers/images_Ov4eKOi.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:18] "GET /media/book_covers/images_1.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:18] "GET /media/book_covers/images_3.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:18] "GET /media/book_covers/images_2.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:18] "GET /media/book_covers/images_4.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:18] "GET /media/book_covers/images_5.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:28] "GET / HTTP/1.1" 200 28570
[28/Jul/2026 17:56:28] "GET /static/css/base.css HTTP/1.1" 304 0
[28/Jul/2026 17:56:28] "GET /static/catalog/css/home.css HTTP/1.1" 304 0
[28/Jul/2026 17:56:28] "GET /media/book_covers/images_Ov4eKOi.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:28] "GET /media/book_covers/images_2.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:28] "GET /media/book_covers/images_1.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:28] "GET /media/book_covers/images_3.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:28] "GET /media/book_covers/images_4.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:28] "GET /media/book_covers/images_5.jpg HTTP/1.1" 304 0
[28/Jul/2026 17:56:31] "GET /logout/ HTTP/1.1" 302 0
[28/Jul/2026 17:56:31] "GET /login/ HTTP/1.1" 200 3644
[28/Jul/2026 17:56:31] "GET /static/accounts/css/login.css HTTP/1.1" 200 1957
[28/Jul/2026 17:56:57] "POST /signup/ HTTP/1.1" 302 0
[28/Jul/2026 17:56:59] "GET / HTTP/1.1" 200 28633
[28/Jul/2026 18:06:08] "GET /admin/ HTTP/1.1" 302 0
[28/Jul/2026 18:06:08] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 3597
[28/Jul/2026 18:06:22] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[28/Jul/2026 18:06:22] "GET /admin/ HTTP/1.1" 200 13016
[28/Jul/2026 18:06:29] "GET /admin/catalog/book/ HTTP/1.1" 200 18915
[28/Jul/2026 18:06:29] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:06:56] "POST /admin/catalog/book/ HTTP/1.1" 200 10779
[28/Jul/2026 18:06:56] "GET /static/admin/js/cancel.js HTTP/1.1" 200 884
[28/Jul/2026 18:06:57] "POST /admin/catalog/book/ HTTP/1.1" 302 0
[28/Jul/2026 18:06:57] "GET /admin/catalog/book/ HTTP/1.1" 200 17499
[28/Jul/2026 18:06:57] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:26:42] "GET / HTTP/1.1" 200 20930
[28/Jul/2026 18:26:42] "GET /static/css/base.css HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /static/catalog/css/home.css HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /media/book_covers/images_Ov4eKOi.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /media/book_covers/images_2.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /media/book_covers/images_1.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:42] "GET /media/book_covers/images_3.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:43] "GET /media/book_covers/images_4.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:26:43] "GET /media/book_covers/images_5.jpg HTTP/1.1" 304 0
[28/Jul/2026 18:27:04] "GET /admin/ HTTP/1.1" 200 13621
[28/Jul/2026 18:27:11] "GET /admin/catalog/book/add/ HTTP/1.1" 200 17477
[28/Jul/2026 18:27:11] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:27:21] "GET /admin/catalog/author/add/?_to_field=id&_popup=1 HTTP/1.1" 200 4952
[28/Jul/2026 18:27:21] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:27:28] "POST /admin/catalog/author/add/?_to_field=id&_popup=1 HTTP/1.1" 200 327
[28/Jul/2026 18:27:28] "GET /static/admin/js/popup_response.js HTTP/1.1" 200 532
[28/Jul/2026 18:27:41] "POST /admin/catalog/book/add/ HTTP/1.1" 302 0
[28/Jul/2026 18:27:41] "GET /admin/catalog/book/ HTTP/1.1" 200 18073
[28/Jul/2026 18:27:41] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:27:41] "GET /static/admin/img/icon-yes-dark.svg HTTP/1.1" 200 558
[28/Jul/2026 18:27:46] "GET /admin/catalog/category/ HTTP/1.1" 200 14285
[28/Jul/2026 18:27:46] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[28/Jul/2026 18:27:50] "GET /admin/catalog/author/ HTTP/1.1" 200 13990
[28/Jul/2026 18:27:50] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
